product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,manufacturing_cost,price_to_cost_ratio,estimated_units_sold,brand,brand_tier,category_complexity,price_segment,seasonal_relevance,is_new_release,value_ratio,price_elasticity,category_median_price,price_to_category_median_ratio,brand_avg_price,price_to_brand_avg_ratio,rating_x_count,discount_to_margin_ratio,premium_complexity,Unnamed: 25,Unnamed: 26
"PTron Solero T241 2.4A Type-C Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1-Meter Long USB Cable for Type-C USB Devices for Charging Adapter (Black)",Computers,99.0,825.0,88,3.9,24871,63.45,1.56,994840,,,,,,,,,949.0,0.1043203371970495,,,96996.9,5.640664059996154,,,
"boAt Laptop, Smartphone Type-c A400 Male Data Cable (Carbon Black)",Computers,273.1,1011.48,73,4.3,20850,175.03,1.56,834000,,,,,,,,,949.0,0.2877766069546891,,,89655.0,4.6791872315877185,,,
"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Radiant Red)",Computers,399.0,997.5,60,4.1,1780,255.72,1.56,71200,,,,,,,,,949.0,0.4204425711275026,,,7297.999999999999,3.845907313633741,,,
Cotbolt Silicone Protective Case Cover for LG an MR21GA Magic Remote Shockproof for LG Smart TV Remote 2021 Protective Skin Waterproof Anti Lost (Black) (Remote Not Included),Home Entertainment,399.0,1995.0,80,4.5,505,256.43,1.56,25250,,,,,,,,,,,,,2272.5,5.127876418178322,,,
Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),Computers,210.0,396.23,47,4.1,1717,134.59,1.56,68680,,,,,,,,,949.0,0.2212855637513171,,,7039.7,3.012627395679764,,,
Electvision Remote Control Compatible with Amazon Fire tv Stick (Pairing Manual Will be Back Side Remote Control)(P),Home Entertainment,1299.0,1999.0,35,3.6,590,834.84,1.56,29500,,,,,,,,,,,,,2124.0,2.2434459329530156,,,
"King Shine Multi Retractable 3.0A Fast Charger Cord, Multiple Charging Cable 4Ft/1.2m 3-in-1 USB Charge Cord Compatible with Phone/Type C/Micro USB for All Android and iOS Smartphones (Random Colour)",Computers,347.0,991.43,65,3.5,1121,222.39,1.56,44840,,,,,,,,,949.0,0.3656480505795574,,,3923.5,4.1663995897698864,,,
"Lapster 5 pin mini usb cable, usb b cable,camera cable usb2.0 for External HDDS/Card Readers/Camera etc.",Computers,149.0,993.33,85,4.0,1313,95.49,1.56,52520,,,,,,,,,949.0,0.1570073761854583,,,5252.0,5.448368694314467,,,
"Portronics Konnect Spydr 31 3-in-1 Multi Functional Cable with 3.0A Output, Tangle Resistant, 1.2M Length, Nylon Braided(Zebra)",Computers,228.0,912.0,75,3.8,132,146.12,1.56,5280,,,,,,,,,949.0,0.2402528977871443,,,501.59999999999997,4.807384142042176,,,
"Belkin Apple Certified Lightning To Type C Cable, Tough Unbreakable Braided Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",Computers,1599.0,1999.0,20,4.4,1951,1024.8,1.56,78040,,,,,,,,,949.0,1.6849315068493151,,,8584.400000000001,1.2819691045445805,,,
Remote Control Compatible for Amazon Fire Tv Stick Remote Control [ 3rd Gen ](Not Compatible for Fire TV Edition Smart TV) from basesailor,Home Entertainment,1499.0,4051.35,63,3.7,37,963.38,1.56,1850,,,,,,,,,,,,,136.9,4.038202679315428,,,
AmazonBasics 6-Feet DisplayPort (not USB port) to HDMI Cable Black,Home Entertainment,799.0,1700.0,53,4.1,28638,513.5,1.56,1431900,,,,,,,,,,,,,117415.79999999999,3.397218127043138,,,
